pid, cid, month, year, amountMNOK, amountMUSD, kBarrels,
1,BE,1,2015,0.00,0.00,0.00,
1,BE,1,2016,203.00,22.95,770.77,
1,BE,1,2017,0.00,0.00,0.00,
1,BE,2,2015,0.00,0.00,0.00,
1,BE,2,2016,171.00,19.87,640.19,
1,BE,2,2017,0.00,0.00,0.00,
1,BE,3,2015,0.00,0.00,0.00,
1,BE,3,2016,0.00,0.00,0.00,
1,BE,3,2017,0.00,0.00,0.00,
1,BE,4,2015,302.00,38.24,664.54,
1,BE,4,2016,274.00,33.29,817.00,
1,BE,4,2017,179.00,20.85,399.64,
1,BE,5,2015,0.00,0.00,0.00,
1,BE,5,2016,0.00,0.00,0.00,
1,BE,5,2017,0.00,0.00,0.00,
1,BE,6,2015,0.00,0.00,0.00,
1,BE,6,2016,0.00,0.00,0.00,
1,BE,6,2017,0.00,0.00,0.00,
1,BE,7,2015,0.00,0.00,0.00,
1,BE,7,2016,0.00,0.00,0.00,
1,BE,7,2017,0.00,0.00,0.00,
1,BE,8,2015,309.00,37.45,819.75,
1,BE,8,2016,0.00,0.00,0.00,
1,BE,8,2017,0.00,0.00,0.00,
1,BE,9,2015,174.00,21.01,454.07,
1,BE,9,2016,0.00,0.00,0.00,
1,BE,9,2017,0.00,0.00,0.00,
1,BE,10,2015,0.00,0.00,0.00,
1,BE,10,2016,0.00,0.00,0.00,
1,BE,10,2017,0.00,0.00,0.00,
1,BE,11,2015,296.00,34.28,795.15,
1,BE,11,2016,0.00,0.00,0.00,
1,BE,11,2017,0.00,0.00,0.00,
1,BE,12,2015,0.00,0.00,0.00,
1,BE,12,2016,0.00,0.00,0.00,
1,BE,12,2017,0.00,0.00,0.00,
1,BS,1,2016,158.00,17.87,599.91,
1,BS,1,2017,0.00,0.00,0.00,
1,BS,2,2016,0.00,0.00,0.00,
1,BS,2,2017,462.00,55.48,1020.71,
1,BS,3,2016,0.00,0.00,0.00,
1,BS,3,2017,0.00,0.00,0.00,
1,BS,4,2016,213.00,25.88,635.11,
1,BS,4,2017,275.00,32.03,613.98,
1,BS,5,2016,0.00,0.00,0.00,
1,BS,5,2017,0.00,0.00,0.00,
1,BS,6,2016,238.00,28.63,600.26,
1,BS,6,2017,0.00,0.00,0.00,
1,BS,7,2016,0.00,0.00,0.00,
1,BS,7,2017,0.00,0.00,0.00,
1,BS,8,2016,0.00,0.00,0.00,
1,BS,8,2017,0.00,0.00,0.00,
1,BS,9,2016,0.00,0.00,0.00,
1,BS,9,2017,0.00,0.00,0.00,
1,BS,10,2016,0.00,0.00,0.00,
1,BS,10,2017,0.00,0.00,0.00,
1,BS,11,2016,0.00,0.00,0.00,
1,BS,11,2017,0.00,0.00,0.00,
1,BS,12,2016,0.00,0.00,0.00,
1,BS,12,2017,0.00,0.00,0.00,
1,CA,1,2015,253.00,32.90,698.45,
1,CA,1,2016,0.00,0.00,0.00,
1,CA,1,2017,468.00,55.18,1029.71,
1,CA,2,2015,281.00,37.02,675.71,
1,CA,2,2016,540.00,62.73,2021.67,
1,CA,2,2017,281.00,33.74,620.82,
1,CA,3,2015,0.00,0.00,0.00,
1,CA,3,2016,207.00,24.37,652.66,
1,CA,3,2017,421.00,49.54,973.19,
1,CA,4,2015,496.00,62.80,1091.43,
1,CA,4,2016,743.00,90.28,2215.45,
1,CA,4,2017,717.00,83.50,1600.81,
1,CA,5,2015,0.00,0.00,0.00,
1,CA,5,2016,0.00,0.00,0.00,
1,CA,5,2017,427.00,50.10,1004.20,
1,CA,6,2015,489.00,62.66,1022.02,
1,CA,6,2016,0.00,0.00,0.00,
1,CA,6,2017,644.00,76.10,1648.36,
